   67,50        -0,14
   67,70        -0,16
   67,90         0,28
   68,10         3,48
   68,30         8,78
   68,50        14,39
   68,70        19,59
   68,90        24,88
   69,10        29,95
   69,30        34,04
   69,50        38,77
   69,70        43,39
   69,90        46,93
   70,10        50,43
   70,30        53,87
   70,50        56,48
   70,70        59,52
   70,90        62,34
   71,10        64,87
   71,30        67,44
   71,50        69,48
   71,70        71,43
   71,90        73,58
   72,10        75,54
   72,30        77,19
   72,50        78,68
   72,70        80,01
   72,90        81,32
   73,10        82,60
   73,30        83,59
   73,50        84,52
   73,70        85,81
   73,90        86,78
   74,10        87,54
   74,30        88,22
   74,50        88,76
   74,70        89,47
   74,90        90,64
   75,10        91,01
   75,30        91,64
   75,50        92,08
   75,70        92,29
   75,90        92,87
   76,10        93,35
   76,30        93,81
   76,50        94,14
   76,70        94,27
   76,90        94,88
   77,10        95,12
   77,30        95,26
   77,50        95,85
   77,70        95,97
   77,90        96,15
   78,10        96,35
   78,30        96,42
   78,50        96,76
   78,70        96,66
   78,90        96,75
   79,10        96,95
   79,30        97,09
   79,50        97,24
   79,70        97,23
   79,90        97,42
   80,10        97,72
   80,30        97,47
   80,50        97,78
   80,70        97,90
   80,90        97,59
   81,10        97,82
   81,30        98,14
   81,50        98,09
   81,70        98,23
   81,90        98,15
   82,10        98,16
   82,30        98,32
   82,50        98,54
   82,70        98,42
   82,90        98,55
   83,10        98,35
   83,30        98,63
   83,50        98,92
   83,70        98,41
   83,90        98,63
   84,10        98,72
   84,30        98,80
   84,50        98,74
   84,70        98,79
   84,90        98,35
   85,10        98,55
   85,30        98,74
   85,50        98,85
   85,70        98,77
   85,90        98,84
   86,10        98,99
   86,30        98,92
   86,50        98,90
   86,70        98,80
   86,90        98,90
   87,10        98,96
   87,30        98,91
   87,50        98,84
   87,70        98,73
   87,90        98,85
   88,10        98,83
   88,30        99,12
   88,50        98,83
   88,70        98,76
   88,90        99,04
   89,10        99,18
   89,30        98,87
   89,50        98,59
   89,70        98,79
   89,90        98,92
